ID,Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50
134,CHEMBL2425813,451.57,COc1ccc(C(=O)C2CCN(C3CCN(Cc4ncc(C)c(=O)[nH]4)C3=O)CC2)cc1,IC50,=',02.02,nM,"9,694,648,631"
135,CHEMBL3649787,361.38,COc1cc(CN2CCCCC2)cc2[nH]c(=O)c3c(c12)NCCC3,IC50,=',02.08,nM,"9,681,936,665"
136,CHEMBL593377,419.42,NC(=O)c1cccc2cn(-c3ccc(NC(=O)CN4CCCCC4)cc3)nc12,IC50,=',02.08,nM,"9,681,936,665"
137,CHEMBL382430,434.47,CN1Cc2c(c3c(c4c2c2ccccc2n4C)CCC3)C1=O,IC50,=',02.09,nM,"9,679,853,714"
138,CHEMBL4853266,434.47,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(c4ccccc4)CC3)c(O)cc(O)c12,IC50,=',02.09,nM,"9,679,853,714"
139,CHEMBL3905682,493.37,CC1(C(=O)N2CCC3=C(C2)Nc2cccc4c(=O)[nH]nc3c24)CC1,IC50,=',2.1,nM,"9,677,780,705"
140,CHEMBL598543,522.41,CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,IC50,=',2.1,nM,"9,677,780,705"
141,CHEMBL4159240,440.49,CC(=O)Nc1ccc(COc2ccc(-c3ccc(-c4nc5c(C(=O)O)cc(C)cc5[nH]4)cc3)cc2)cc1,IC50,=',2.1,nM,"9,677,780,705"
142,CHEMBL338790,312.35,O=C(c1cccs1)N1CCN(Cc2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)CC1,IC50,=',2.1,nM,"9,677,780,705"
143,CHEMBL4760782,361.38,CN1CCCc2c1c1cc(OCCN3CCCCC3)ccc1[nH]c2=O,IC50,=',2.14,nM,"9,669,586,227"
144,CHEMBL3291331,380.36,CNC1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,IC50,=',2.14,nM,"9,669,586,227"
145,CHEMBL3893975,292.34,CCN1CCCN(C(=O)c2cc(Cc3nnc(O)c4ccccc34)ccc2F)CC1,IC50,=',2.2,nM,"9,657,577,319"
146,CHEMBL595237,217.27,Cn1ncnc1C1c2n[nH]c(=O)c3cccc(c23)NC1c1ccccc1,IC50,=',2.2,nM,"9,657,577,319"
147,CHEMBL598138,362.37,CC1(C)CC2=NNC(=O)c3cccc4c3c2c(n4CCN2CCCCC2)C1,IC50,=',2.29,nM,"9,640,164,518"
148,CHEMBL296750,497.5,Cc1cccc2c(O)nc3cc(F)ccc3c12,IC50,=',2.3,nM,"9,638,272,164"
149,CHEMBL3952782,312.3,NCCOc1c(-c2ccc(Br)cc2)[nH]c(=O)c2cc(F)ccc12,IC50,=',2.3,nM,"9,638,272,164"
150,CHEMBL4787850,454.41,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cccc4c(=O)[nH]3)CC2)cc1,IC50,=',2.3,nM,"9,638,272,164"
151,CHEMBL4285227,312.3,COc1cc2c(cc1OC)C1(O)C3C4c5ccccc5C(c5ccccc54)C3C(=O)N1CC2,IC50,=',2.3,nM,"9,638,272,164"
152,CHEMBL3644563,451.33,CN(C)Cc1ccc(-c2ccc3c(Cl)cc(C(N)=O)n3n2)cc1,IC50,=',2.3,nM,"9,638,272,164"
153,CHEMBL4856241,423.28,Cn1nc(-c2ccccc2)c2c3c(c(=O)[nH]c21)CCC3,IC50,=',2.3,nM,"9,638,272,164"
154,CHEMBL3938947,876.99,O=C(c1ccc(F)cc1)C1CCN(CC(=O)N(Cc2nc3c(c(=O)[nH]2)COCC3)CC2CC2)CC1,IC50,=',2.3,nM,"9,638,272,164"
155,CHEMBL3644773,343.39,Cc1c(C(=O)N2CCC(N(C)C)CC2)sc2c1[nH]c(=O)c1ccccc12,IC50,=',2.35,nM,"9,628,932,138"
156,CHEMBL558845,396.49,O=C1NCCc2c1ccc1[nH]cc(CCNC(=O)N3CCNCC3)c21,IC50,=',2.36,nM,"9,627,087,997"
157,CHEMBL289834,320.4,O=C(NCCc1ccccc1)c1ccc2c(c1)nc(O)c1cc(F)ccc12,IC50,=',2.4,nM,"9,619,788,758"
158,CHEMBL521815,509.63,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccccc1,IC50,=',2.4,nM,"9,619,788,758"
159,CHEMBL563236,320.4,Cn1ccnc1C1c2n[nH]c(=O)c3cc(F)cc(c23)NC1c1ccc(F)cc1,IC50,=',2.4,nM,"9,619,788,758"
